,value changing
0,1000000.0
1,1005231.9825210571
2,995953.8781423569
3,908666.1865320206
4,763563.4423208237
5,763563.4423208237
6,861778.270670414
7,905088.093319416
8,907411.3452968597
9,952367.8974022865
10,993557.5638990402
11,972108.6854963303
12,963884.1088752747
13,1093855.006324768
14,1139392.1314496994
15,1126312.070093155
16,1179190.42715168
17,1245735.0370845792
18,1305209.176914215
19,1326603.5387353897
20,1326603.5387353897
21,1326424.4906606674
22,1342685.6077022552
23,1367274.3964538574
24,1312449.8220567703
25,1382229.5441541672
